Algemene onkosten,verpl en reiskost buitenland;
Algemene onkosten,rec en repr 50%;
Personeelskosten,interims;
Algemene onkosten,publiciteit;
Personeelskosten,selectie en recrutering;
Algemene onkosten,vorming;
Algemene onkosten,erelonen;
Omzet,diverse opb;
Algemene onkosten,diverse ao;
Personeelskosten,loonlijst;
Personeelskosten,rsz;
Personeelskosten,verzekering personeel;
Personeelskosten,drank en voeding;
Personeelskosten,loonlijst;
Personeelskosten,personeelsactiviteit;
Algemene onkosten,afschrijving vast actief;
Personeelskosten,loonlijst;
Algemene onkosten,diverse ao;
Financiele Resultaten,intrestkosten;
Financiele Resultaten,wisselkoersverschillen;
Omzet,diverse opb;
Financiele Resultaten,bankkosten Citi;
Financiele Resultaten,bankkosten overige;
Belastingen,belastingen;
Omzet,diverse opb;
Financiele Resultaten,intresten;
Algemene onkosten,vorming;
Financiele Resultaten,wisselkoersverschillen;
Algemene onkosten,verpl en reiskost buitenland;
Personeelskosten,loonlijst;
Omzet,diverse opb;
Algemene onkosten,erelonen;
Algemene onkosten,huur gebouwen;
Algemene onkosten,telecommunicatie;
Algemene onkosten,bureelbenodigdheden;
Algemene onkosten,verpl en reiskost buitenland;
Algemene onkosten,vorming;
Algemene onkosten,erelonen;
Algemene onkosten,diverse ao;
Personeelskosten,loonlijst;
Personeelskosten,verzekering personeel;
Algemene onkosten,afschrijving vast actief;
Informaticakosten,afstand aan informatica;
Algemene onkosten,beheerskosten SD & MC;
Algemene onkosten,rec en repr 50%;
Personeelskosten,loonlijst;
Personeelskosten,rsz;
Personeelskosten,verzekering personeel;
Informaticakosten,afschr.lic.;
Algemene onkosten,afschrijving vast actief;
Algemene onkosten,verzekering nt pers;
Algemene onkosten,huur auto's;
Algemene onkosten,verpl en reiskost buitenland;
Personeelskosten,loonlijst;
Algemene onkosten,huur gebouwen;
Algemene onkosten,onderhoud mach & m;
Algemene onkosten,diverse ao;
Omzet,cie overige;
Algemene onkosten,dienstprestaties vk;
Financiele Resultaten,intresten;
